provider_id,full_name,phone,address,city,state,npi
201,1 ON 1 CHIROPRACTIC PLLC,2122287072,62 E 1st St,New York,NY,1467483221
202,10 PARK PHARMACY INC,2126833838,53 E 34th St,New York,NY,,
203,10 WEST 46TH STREET DENTAL PLLC,2127521252,10 W 46th St Suite 1402,New York,NY,1801968278
204,101 LASIK SURGICAL GROUP,2126970202,101 Park Ave,New York,NY,1275537074
205,1016 5TH AVE GYNECOLOGY PC,2127345555,1016 5th Ave,New York,NY,,
206,103 PHARMACY INC,2124104410,2002 2nd Ave,New York,NY,1942213506
207,104TH ST OPTICAL INC,2128314733,1884 3rd Ave,New York,NY,,
208,105 EAST 78 STREET MEDICAL,2125353313,885 Park Ave,New York,NY,1104879934
209,110RXCORP,2129960055,127 E 110th St,New York,NY,,
210,115 E 64TH STREET MEDICAL PLLC,4159993090,115 E 64th St,New York,NY,1215902302
211,116 STREET DENTAL CARE PLLC,3473316681,240 W 116th St,New York,NY,,
212,10 PARK PHARMACY INC,9999999999,53 E 34th Street,New York,NY,,
213,1 ON 1 CHIROPRACTIC PLLC,2120000000,999 Wrong Street,New York,NY,1467483221
214,105 EAST 78 STREET MEDICAL,2125353313,885 Park Avenue,New York,NY,1104879934
